SSIC,UEN,firm_type,ownership_type,exp_total_rnd,no_sc_researchers,no_pr_researchers,no_fc_researchers,no_phd_researchers,no_masters_researchers,no_bachelors_researchers,no_nondegree_researchers,no_postgrad_researchers
S3,1,MNC,Private,2553.497,401,207,682,349,99,630,1138,244
S3,2,LLC,IHL,5315.767,520,274,49,103,149,105,671,372
S3,3,MNC,Gov,990.704,271,31,420,71,189,249,741,364
S2,4,LLC,Gov,3953.556,170,837,140,175,158,285,141,668
S1,5,MNC,Private,1879.721,157,620,177,25,137,106,252,86
S2,6,SME,IHL,1650.443,451,406,159,221,117,1046,98,267
S2,7,LLC,Gov,4706.802,224,64,123,269,338,185,192,71
S1,8,MNC,IHL,2593.245,960,288,142,448,191,416,391,335
S2,9,SME,Public RI,4447.566,312,161,367,271,240,133,438,95
S2,10,MNC,Public RI,3351.31,320,444,288,310,207,23,236,477
S2,11,LLC,Public RI,2048.118,160,103,118,159,770,147,299,173
S2,12,MNC,Gov,3101.362,363,438,513,250,123,316,284,338
S3,13,SME,Gov,3663.656,169,372,267,383,302,52,248,65
S2,14,LLC,Public RI,1866.963,648,282,197,158,383,323,188,173
S2,15,MNC,IHL,2200.142,566,347,224,542,332,378,67,59
S3,16,LLC,Public RI,1105.27,402,376,259,300,341,295,572,80
S1,17,SME,IHL,2850.928,141,139,319,443,197,58,148,197
S1,18,MNC,Private,3773.677,172,374,738,600,649,416,28,88
S1,19,SME,IHL,3909.026,418,183,100,692,330,372,155,245
S3,20,LLC,Private,3441.034,164,256,197,308,595,296,141,125
S3,21,MNC,Public RI,2011.317,274,59,70,774,299,499,547,956
S2,22,MNC,IHL,3558.744,142,184,242,297,59,1070,275,315
S2,23,MNC,Gov,3781.421,342,705,276,487,59,270,119,224
S1,24,LLC,Public RI,3674.965,172,524,501,291,232,815,330,421
S1,25,SME,Public RI,1758.362,187,141,291,707,260,207,165,319
S1,26,LLC,Gov,2226.506,113,330,300,226,249,85,78,169
S3,27,MNC,IHL,1909.933,19,125,181,130,61,152,362,409
S3,28,LLC,Gov,1757.73,457,407,666,253,131,346,132,561
S3,29,LLC,Public RI,4327.876,436,214,105,286,66,339,484,30
S2,30,MNC,Gov,2978.867,255,193,449,295,71,80,144,365
S1,31,SME,Private,3773.88,150,300,139,131,1536,506,382,273
S3,32,LLC,Public RI,1997.795,133,371,264,474,26,399,58,52
S2,33,MNC,Gov,4393.725,512,554,42,285,164,231,95,251
S1,34,MNC,Public RI,1882.877,334,160,334,40,101,333,93,281
S1,35,SME,Gov,2579.599,192,120,243,98,100,326,553,101
S3,36,LLC,IHL,4237.689,56,264,259,616,231,109,213,785
S3,37,LLC,Gov,4603.577,76,188,236,143,208,106,245,71
S1,38,SME,Gov,1645.425,366,263,78,532,72,244,215,174
S3,39,MNC,IHL,4292.031,318,141,119,193,160,141,463,179
S3,40,SME,Public RI,1519.73,56,168,302,262,762,559,573,372
S3,41,LLC,Public RI,2013.206,769,619,63,480,660,273,257,358
S2,42,LLC,IHL,2408.868,289,16,219,209,45,261,264,77
S3,43,MNC,Gov,2279.74,456,199,339,243,547,699,226,33
S1,44,SME,Public RI,2867.211,59,243,369,387,168,464,553,64
S3,45,LLC,Private,1980.206,200,172,230,1142,169,206,50,420
S3,46,MNC,Private,2992.069,252,595,538,355,166,152,298,147
S1,47,MNC,Gov,1879.482,53,29,291,135,145,332,221,291
S3,48,LLC,Private,2326.795,280,49,90,160,88,106,120,251
S3,49,MNC,Public RI,5000.999,503,123,217,481,725,225,105,4
S3,50,SME,Public RI,3193.882,670,365,67,604,229,1014,395,164
S3,51,SME,Public RI,3084.364,430,479,30,539,166,285,406,153
S3,52,SME,Gov,4753.272,255,585,38,319,231,229,10,258
S2,53,LLC,Public RI,2128.266,178,551,365,34,170,429,515,245
S2,54,SME,Public RI,1998.036,379,560,75,75,283,856,354,427
S1,55,SME,Gov,1901.708,151,889,79,222,472,559,189,269
S1,56,MNC,IHL,1882.112,310,382,375,733,183,267,85,374
S2,57,LLC,Private,3582.74,455,615,868,191,234,72,208,1516
S3,58,LLC,Gov,2547.501,195,826,262,640,227,156,883,317
S2,59,SME,Public RI,2819.764,626,196,77,647,303,118,807,110
S2,60,SME,IHL,2743.371,279,465,124,478,190,108,325,582
S3,61,LLC,Public RI,2131.548,317,269,59,241,284,78,384,40
S1,62,MNC,Gov,3926.775,70,251,73,155,322,342,266,66
S1,63,LLC,Gov,4331.71,777,571,1,157,193,259,307,532
S2,64,MNC,Private,2148.831,79,279,736,208,434,755,46,481
S1,65,LLC,Public RI,2983.656,131,159,763,198,183,359,254,248
S1,66,MNC,Private,1700.143,258,216,242,207,524,470,287,187
S2,67,MNC,IHL,3130.109,79,222,331,39,132,267,486,847
S3,68,MNC,Private,2132.991,580,292,171,148,186,608,260,62
S3,69,MNC,IHL,3129.714,137,243,247,76,699,553,407,106
S2,70,LLC,Private,2960.023,217,123,723,153,493,265,506,363
S1,71,LLC,Private,3724.872,606,116,237,155,381,90,224,427
S1,72,SME,IHL,2247.813,114,331,1411,18,247,92,268,677
S1,73,LLC,Public RI,2157.005,91,146,265,276,74,383,229,142
S1,74,SME,IHL,3797.367,357,716,111,208,496,137,607,247
S1,75,LLC,Public RI,3309.363,432,276,294,181,309,560,292,226
S1,76,LLC,Private,4277.789,104,402,285,359,58,220,500,676
S1,77,SME,Private,1779.965,811,266,441,301,57,358,780,90
S1,78,MNC,Gov,1603.541,436,577,591,386,523,325,730,355
S3,79,LLC,Public RI,3243.902,77,143,113,146,134,583,250,315
S1,80,LLC,IHL,2247.012,486,164,25,254,216,238,66,1134
S2,81,LLC,Public RI,3236.058,244,301,248,652,308,101,33,257
S2,82,SME,Public RI,4542.191,262,264,657,567,750,140,375,479
S3,83,MNC,IHL,3611.714,337,242,329,196,290,202,28,338
S3,84,MNC,Private,3221.418,286,110,481,218,170,39,221,193
S1,85,MNC,Private,4015.582,113,100,463,397,230,167,593,342
S2,86,LLC,IHL,2256.503,206,78,31,315,415,297,458,352
S1,87,SME,Gov,3588.409,215,141,308,467,384,58,281,302
S3,88,SME,IHL,2413.17,115,229,658,106,122,378,113,286
S3,89,MNC,IHL,2910.138,109,158,356,166,468,377,372,407
S1,90,SME,Private,2232.61,199,281,830,283,265,878,812,135
S2,91,LLC,Public RI,3157.813,175,281,119,186,122,482,118,338
S2,92,LLC,Gov,3804.272,266,183,414,145,491,451,866,407
S3,93,LLC,Gov,1837.033,437,383,242,384,592,416,138,341
S2,94,LLC,IHL,2585.932,112,260,389,218,215,96,398,29
S3,95,MNC,Private,3793.647,455,100,298,132,59,613,100,457
S2,96,LLC,Public RI,3739.328,228,62,247,421,208,527,157,325
S3,97,MNC,Gov,2310.429,151,587,134,276,255,180,80,40
S3,98,MNC,Gov,2787.638,133,149,572,216,318,378,275,178
S3,99,MNC,Public RI,2290.442,141,167,250,290,174,402,93,211
S2,100,MNC,Public RI,2891.25,140,76,56,289,164,113,665,441
S3,101,LLC,Private,2493.054,172,356,660,103,97,192,315,280
S3,102,LLC,Public RI,2984.884,420,131,295,302,417,204,321,162
S3,103,MNC,Public RI,2092.38,104,581,98,693,100,216,214,581
S3,104,SME,Public RI,2469.988,604,200,74,441,286,371,863,239
S1,105,LLC,IHL,3885.199,630,172,453,72,131,199,57,474
S3,106,SME,Private,1502.083,399,555,345,363,374,653,404,30
S2,107,LLC,Private,3421.43,325,419,511,532,77,117,506,77
S2,108,SME,Private,4123.435,417,122,24,133,320,274,150,54
S1,109,MNC,Public RI,2050.803,431,317,131,38,443,123,137,223
S1,110,LLC,Private,3479.115,323,417,441,185,208,197,548,364
S1,111,LLC,Private,3784.859,68,151,831,946,134,286,240,119
S1,112,SME,Private,2098.183,297,499,336,189,211,81,223,121
S3,113,SME,IHL,1673.832,198,373,26,84,221,342,649,223
S2,114,LLC,IHL,4617.294,172,145,432,10,344,107,793,218
